"","precinct","office","party_detailed","party_simplified","votes","county_name","county_fips","jurisdiction_name","candidate","year","stage","state","special","writein","date"
"1","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"2","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"3","Clearwater-A","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",4,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"4","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHERUNDA LYNN FOX",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"5","Clearwater-A","US PRESIDENT","PARTY FOR SOCIALISM AND LIBERATION","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CLAUDIA DE LA CRUZ",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"6","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CORNEL WEST",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"7","Clearwater-A","US PRESIDENT","REPUBLICAN","REPUBLICAN",539,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DONALD J TRUMP",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"8","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DOUG JENKINS",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"9","Clearwater-A","US PRESIDENT","DEMOCRAT","DEMOCRAT",140,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","KAMALA D HARRIS",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"10","Clearwater-A","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","NALA BAOZUN SCOTT JOHNSON JR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"11","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PAIJ BORING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"12","Clearwater-A","US PRESIDENT","AMERICAN SOLIDARITY","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PETER SONSKI",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"13","Clearwater-A","US PRESIDENT","WE THE PEOPLE","OTHER",9,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ROBERT F KENNEDY",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"14","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SHONDRA IRVING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"15","Clearwater-A","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SUSAN MAUDE BUCHSER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"16","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","TOM HOEFLING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"17","Clearwater-A","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","WILLIAM CODY NALBACH",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"18","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"19","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"20","Clearwater-B","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",8,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"21","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHERUNDA LYNN FOX",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"22","Clearwater-B","US PRESIDENT","PARTY FOR SOCIALISM AND LIBERATION","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CLAUDIA DE LA CRUZ",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"23","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CORNEL WEST",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"24","Clearwater-B","US PRESIDENT","REPUBLICAN","REPUBLICAN",593,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DONALD J TRUMP",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"25","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","DOUG JENKINS",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"26","Clearwater-B","US PRESIDENT","DEMOCRAT","DEMOCRAT",141,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","KAMALA D HARRIS",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"27","Clearwater-B","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","NALA BAOZUN SCOTT JOHNSON JR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"28","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PAIJ BORING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"29","Clearwater-B","US PRESIDENT","AMERICAN SOLIDARITY","OTHER",1,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","PETER SONSKI",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"30","Clearwater-B","US PRESIDENT","WE THE PEOPLE","OTHER",8,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ROBERT F KENNEDY",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"31","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SHONDRA IRVING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"32","Clearwater-B","US PRESIDENT","OTHER","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","SUSAN MAUDE BUCHSER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"33","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","TOM HOEFLING",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"34","Clearwater-B","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","WILLIAM CODY NALBACH",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"35","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","ANDRÉ RAMON MCNEIL SR",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"36","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CAROL ASHER",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"37","Clearwater-C","US PRESIDENT","LIBERTARIAN","LIBERTARIAN",3,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHASE OLIVER",2024,"GEN","INDIANA",FALSE,FALSE,2024-11-05
"38","Clearwater-C","US PRESIDENT","INDEPENDENT","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CHERUNDA LYNN FOX",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
"39","Clearwater-C","US PRESIDENT","PARTY FOR SOCIALISM AND LIBERATION","OTHER",0,"PRAIRIE COUNTY",18699,"PRAIRIE COUNTY","CLAUDIA DE LA CRUZ",2024,"GEN","INDIANA",FALSE,TRUE,2024-11-05
